home_ownership,annual_inc,loan_amount,loan_condition
RENT,24000,5000,Good Loan
RENT,30000,2500,Bad Loan
RENT,12252,2400,Good Loan
RENT,49200,10000,Good Loan
RENT,80000,3000,Good Loan
RENT,36000,5000,Good Loan
RENT,47004,7000,Good Loan
RENT,48000,3000,Good Loan
OWN,40000,5600,Bad Loan
RENT,15000,5375,Bad Loan
OWN,72000,6500,Good Loan
OWN,75000,12000,Good Loan
RENT,30000,9000,Bad Loan
RENT,15000,3000,Good Loan
RENT,100000,10000,Bad Loan
RENT,28000,1000,Good Loan
RENT,42000,10000,Good Loan
MORTGAGE,110000,3600,Good Loan
MORTGAGE,84000,6000,Good Loan
RENT,77385,9200,Good Loan
RENT,43370,20250,Good Loan
RENT,105000,21000,Bad Loan
OWN,50000,10000,Good Loan
RENT,50000,10000,Good Loan
RENT,76000,6000,Bad Loan
MORTGAGE,92000,15000,Good Loan
RENT,60000,15000,Bad Loan
RENT,50004,5000,Bad Loan
MORTGAGE,106000,4000,Good Loan
RENT,25000,8500,Good Loan
MORTGAGE,17108,4375,Good Loan
MORTGAGE,75000,31825,Good Loan
RENT,29120,10000,Good Loan
RENT,24044,5000,Good Loan
RENT,34000,7000,Good Loan
RENT,41000,12400,Good Loan
RENT,55596,10800,Good Loan
RENT,45000,15000,Good Loan
RENT,36852,6000,Good Loan
RENT,27000,12500,Good Loan
RENT,68004,9600,Good Loan
RENT,62300,12000,Good Loan
MORTGAGE,65000,3000,Good Loan
RENT,55000,4400,Good Loan
MORTGAGE,45600,6000,Good Loan
RENT,80000,14000,Good Loan
MORTGAGE,100000,5000,Bad Loan
RENT,27000,10000,Good Loan
RENT,60000,10000,Good Loan
RENT,70000,11000,Good Loan
MORTGAGE,80000,15000,Bad Loan
RENT,110000,25600,Good Loan
RENT,40000,7000,Good Loan
RENT,50000,12000,Bad Loan
RENT,46000,12000,Good Loan
RENT,50000,21000,Bad Loan
RENT,81000,16000,Good Loan
OWN,39000,10000,Good Loan
RENT,51400,10000,Good Loan
MORTGAGE,33000,7100,Good Loan
MORTGAGE,30000,13000,Good Loan
RENT,40000,17500,Good Loan
RENT,50000,17675,Good Loan
RENT,62000,8000,Good Loan
RENT,45996,10000,Bad Loan
MORTGAGE,55000,3500,Good Loan
RENT,30000,12500,Bad Loan
RENT,44544,16425,Good Loan
RENT,75000,8200,Bad Loan
OWN,61000,15000,Good Loan
MORTGAGE,44000,20975,Good Loan
RENT,75000,6400,Bad Loan
RENT,33600,3000,Good Loan
RENT,50000,12000,Good Loan
OWN,150000,14400,Good Loan
RENT,90000,12000,Good Loan
MORTGAGE,48000,11000,Good Loan
RENT,75000,7250,Good Loan
MORTGAGE,52000,15000,Good Loan
MORTGAGE,65000,18000,Good Loan
MORTGAGE,150000,35000,Good Loan
RENT,68000,10000,Good Loan
RENT,42000,11800,Good Loan
RENT,53000,4500,Good Loan
RENT,35000,7000,Good Loan
RENT,60000,9200,Good Loan
RENT,28000,14000,Good Loan
MORTGAGE,42000,4500,Good Loan
RENT,88365,12000,Good Loan
RENT,72000,12000,Good Loan
RENT,62000,12000,Good Loan
MORTGAGE,43680,7000,Good Loan
RENT,120000,8200,Good Loan
RENT,66000,10500,Good Loan
OWN,39120,7000,Good Loan
RENT,85000,15300,Good Loan
MORTGAGE,47800,20000,Good Loan
MORTGAGE,45000,17500,Bad Loan
MORTGAGE,83000,3500,Good Loan
RENT,81000,6000,Good Loan
RENT,25000,6200,Bad Loan
RENT,65000,16000,Good Loan
OWN,28800,6000,Good Loan
RENT,135000,7200,Good Loan
MORTGAGE,50000,9500,Good Loan
RENT,38000,18825,Bad Loan
RENT,45000,24000,Good Loan
RENT,80000,6000,Good Loan
RENT,50000,6000,Good Loan
MORTGAGE,30000,2100,Good Loan
MORTGAGE,110000,5500,Good Loan
OWN,45608,11000,Good Loan
MORTGAGE,120000,26800,Good Loan
MORTGAGE,35000,8000,Good Loan
RENT,75000,10000,Bad Loan
MORTGAGE,35000,8000,Good Loan
RENT,24000,10000,Good Loan
MORTGAGE,126000,12000,Good Loan
RENT,43000,10000,Good Loan
RENT,50000,12000,Good Loan
MORTGAGE,67000,25000,Bad Loan
RENT,45000,19750,Bad Loan
RENT,31200,10000,Good Loan
RENT,66000,13650,Good Loan
RENT,52000,28000,Bad Loan
RENT,56964,18000,Good Loan
RENT,49500,2500,Good Loan
RENT,70000,21000,Good Loan
MORTGAGE,125000,35000,Good Loan
RENT,33000,10000,Good Loan
RENT,30000,7000,Good Loan
MORTGAGE,90000,24000,Bad Loan
MORTGAGE,23000,10625,Good Loan
RENT,24000,5000,Good Loan
RENT,62000,8850,Good Loan
RENT,44000,6375,Good Loan
RENT,90000,6000,Good Loan
RENT,41000,11100,Bad Loan
MORTGAGE,56000,10000,Good Loan
MORTGAGE,26500,6200,Good Loan
RENT,54000,15000,Good Loan
RENT,53000,4200,Good Loan
RENT,52800,14000,Good Loan
MORTGAGE,38000,8875,Good Loan
RENT,38000,13500,Good Loan
RENT,42000,12000,Bad Loan
RENT,55000,16000,Good Loan
MORTGAGE,60000,21600,Good Loan
MORTGAGE,87000,6000,Good Loan
OWN,25000,8450,Good Loan
RENT,82000,20000,Good Loan
RENT,60000,10000,Bad Loan
MORTGAGE,80000,12000,Good Loan
RENT,25000,13475,Bad Loan
RENT,48000,7200,Good Loan
MORTGAGE,85000,5600,Bad Loan
RENT,57000,12000,Good Loan
RENT,25000,8500,Good Loan
RENT,34000,8000,Good Loan
RENT,40000,8000,Good Loan
RENT,42656,16000,Good Loan
MORTGAGE,44400,15000,Good Loan
OWN,30000,10000,Good Loan
MORTGAGE,70000,10000,Good Loan
RENT,28000,8000,Good Loan
MORTGAGE,50000,22000,Good Loan
MORTGAGE,94800,6000,Good Loan
OWN,40000,16000,Good Loan
OWN,12000,2500,Bad Loan
MORTGAGE,36000,13500,Good Loan
RENT,225000,25000,Good Loan
RENT,45900,10000,Good Loan
RENT,27200,2500,Good Loan
RENT,42000,7325,Good Loan
RENT,135000,4000,Good Loan
RENT,65000,10000,Bad Loan
RENT,24000,7750,Bad Loan
RENT,70000,20000,Bad Loan
RENT,65000,9600,Good Loan
RENT,60000,21000,Bad Loan
RENT,30000,14000,Good Loan
RENT,43000,13350,Good Loan
RENT,42000,15000,Bad Loan
RENT,75000,15000,Bad Loan
MORTGAGE,129000,11000,Good Loan
MORTGAGE,168000,35000,Good Loan
MORTGAGE,74000,9000,Good Loan
MORTGAGE,52000,22475,Good Loan
RENT,58500,16000,Bad Loan
RENT,71000,13500,Good Loan
RENT,75000,24000,Good Loan
